bucket,base_gap,stressed_gap,delta_gap
<=1y,-780487.8048780488,-772946.8599033817,7540.94497466716
1y-3y,-644345.3460121253,-625901.481432983,18443.864579142304
3y-5y,862608.7843841639,821927.1067593517,-40681.67762481223
>5y,354459.4068548861,321963.8410150215,-32495.565839864605
